Pays;Capitale;Continent
Afghanistan;Kaboul;Asie
Afrique du Sud;Pretoria;Afrique
Albanie;Tirana;Europe
Algérie;Alger;Afrique
Allemagne;Berlin;Europe
Andorre;Andorre-la-Vieille;Europe
Angola;Luanda;Afrique
Antigua-et-Barbuda;Saint John's;Amérique
Arabie Saoudite;Riyad;Asie
Argentine;Buenos Aires;Amérique
Arménie;Erevan;Asie
Australie;Canberra;Océanie
Autriche;Vienne;Europe
Azerbaïdjan;Bakou;Asie
Bahamas;Nassau;Amérique
Bahreïn;Manama;Asie
Bangladesh;Dacca;Asie
Barbade;Bridgetown;Amérique
Belgique;Bruxelles;Europe
Belize;Belmopan;Amérique
Bénin;Porto-Novo;Afrique
Bhoutan;Thimbu;Asie
Biélorussie;Minsk;Europe
Birmanie;Naypyidaw;Asie
Bolivie;Sucre;Amérique
Bosnie-Herzégovine;Sarajevo;Europe
Botswana;Gaborone;Afrique
Brésil;Brasilia;Amérique
Brunei;Bandar Seri Begawan;Asie
Bulgarie;Sofia;Europe
Burkina Faso;Ouagadougou;Afrique
Burundi;Bujumbura;Afrique
Cambodge;Phnom Penh;Asie
Cameroun;Yaoundé;Afrique
Canada;Ottawa;Amérique
Cap-Vert;Praia;Afrique
Chili;Santiago;Amérique
Chine;Pékin;Asie
Chypre;Nicosie;Europe
Colombie;Bogota;Amérique
Comores;Moroni;Afrique
Congo;Brazzaville;Afrique
Corée du Nord;Pyongyang;Asie
Corée du Sud;Séoul;Asie
Costa Rica;San José;Amérique
Côte d'Ivoire;Yamoussoukro;Afrique
Croatie;Zagreb;Europe
Cuba;La Havane;Amérique
Danemark;Copenhague;Europe
Djibouti;Djibouti;Afrique
Dominique;Roseau;Amérique
Egypte;Le Caire;Afrique
Emirats Arabes Unis;Abu Dhabi;Asie
Equateur;Quito;Amérique
Erythrée;Asmara;Afrique
Espagne;Madrid;Europe
Estonie;Tallinn;Europe
Etats-Unis;Washington;Amérique
Ethiopie;Addis-Abeba;Afrique
Fidji;Suva;Océanie
Finlande;Helsinki;Europe
France;Paris;Europe
Gabon;Libreville;Afrique
Gambie;Banjul;Afrique
Géorgie;Tbilissi;Asie
Ghana;Accra;Afrique
Grèce;Athènes;Europe
Grenade;Saint George's;Amérique
Guatemala;Guatemala;Amérique
Guinée;Conakry;Afrique
Guinée équatoriale;Malabo;Afrique
Guinée-Bissau;Bissau;Afrique
Guyana;Georgetown;Amérique
Haïti;Port-au-Prince;Amérique
Honduras;Tegucigalpa;Amérique
Hongrie;Budapest;Europe
Île Maurice;Port Louis;Afrique
Inde;New Delhi;Asie
Indonésie;Jakarta;Asie
Irak;Bagdad;Asie
Iran;Téhéran;Asie
Irlande;Dublin;Europe
Islande;Reykjavik;Europe
Israël;Jérusalem;Asie
Italie;Rome;Europe
Jamaïque;Kingston;Amérique
Japon;Tokyo;Asie
Jordanie;Amman;Asie
Kazakhstan;Astana;Asie
Kenya;Nairobi;Afrique
Kirghizistan;Bichkek;Asie
Kiribati;Tarawa;Océanie
Kosovo;Pristina;Europe
Koweït;Koweït;Asie
Laos;Vientiane;Asie
Lesotho;Maseru;Afrique
Lettonie;Riga;Europe
Liban;Beyrouth;Asie
Liberia;Monrovia;Afrique
Libye;Tripoli;Afrique
Liechtenstein;Vaduz;Europe
Lituanie;Vilnius;Europe
Luxembourg;Luxembourg;Europe
Macédoine;Skopje;Europe
Madagascar;Antananarivo;Afrique
Malaisie;Kuala Lumpur;Asie
Malawi;Lilongwe;Afrique
Maldives;Malé;Asie
Mali;Bamako;Afrique
Malte;La Valette;Europe
Maroc;Rabat;Afrique
Marshall;Majuro;Océanie
Mauritanie;Nouakchott;Afrique
Mexique;Mexico;Amérique
Micronésie;Palikir;Océanie
Moldavie;Chisinau;Europe
Monaco;Monaco;Europe
Mongolie;Oulan-Bator;Asie
Monténégro;Podgorica;Europe
Mozambique;Maputo;Afrique
Namibie;Windhoek;Afrique
Nauru;Yaren;Océanie
Népal;Katmandou;Asie
Nicaragua;Managua;Amérique
Niger;Niamey;Afrique
Nigeria;Abuja;Afrique
Norvège;Oslo;Europe
Nouvelle-Zélande;Wellington;Océanie
Oman;Mascate;Asie
Ouganda;Kampala;Afrique
Ouzbékistan;Tachkent;Asie
Pakistan;Islamabad;Asie
Palaos;Melekeok;Océanie
Palestine;Jérusalem-Est;Asie
Panama;Panama;Amérique
Papouasie-Nouvelle-Guinée;Port Moresby;Océanie
Paraguay;Asunción;Amérique
Pays-Bas;Amsterdam;Europe
Pérou;Lima;Amérique
Philippines;Manille;Asie
Pologne;Varsovie;Europe
Portugal;Lisbonne;Europe
Qatar;Doha;Asie
République Centrafricaine;Bangui;Afrique
République Démocratique du Congo;Kinshasa;Afrique
République Dominicaine;Saint-Domingue;Amérique
République Tchèque;Prague;Europe
Roumanie;Bucarest;Europe
Royaume-Uni;Londres;Europe
Russie;Moscou;Europe
Rwanda;Kigali;Afrique
Saint-Kitts-et-Nevis;Basseterre;Amérique
Saint-Marin;Saint-Marin;Europe
Saint-Vincent-et-les-Grenadines;Kingstown;Amérique
Sainte-Lucie;Castries;Amérique
Salomon;Honiara;Océanie
Salvador;San Salvador;Amérique
Samoa;Apia;Océanie
São Tomé et Príncipe;São Tomé;Afrique
Sénégal;Dakar;Afrique
Serbie;Belgrade;Europe
Seychelles;Victoria;Afrique
Sierra Leone;Freetown;Afrique
Singapour;Singapour;Asie
Slovaquie;Bratislava;Europe
Slovénie;Ljubljana;Europe
Somalie;Mogadiscio;Afrique
Soudan;Khartoum;Afrique
Soudan du Sud;Djouba;Afrique
Sri Lanka;Sri Jayawardenapura;Asie
Suède;Stockholm;Europe
Suisse;Berne;Europe
Suriname;Paramaribo;Amérique
Swaziland;Mbabane;Afrique
Syrie;Damas;Asie
Tadjikistan;Douchanbe;Asie
Taïwan;Taipei;Asie
Tanzanie;Dodoma;Afrique
Tchad;N'Djamena;Afrique
Thaïlande;Bangkok;Asie
Timor-Oriental;Dili;Océanie
Togo;Lomé;Afrique
Tonga;Nukualofa;Océanie
Trinité-et-Tobago;Port of Spain;Amérique
Tunisie;Tunis;Afrique
Turkménistan;Achgabat;Asie
Turquie;Ankara;Asie
Tuvalu;Fanafuti;Océanie
Ukraine;Kiev;Europe
Uruguay;Montevideo;Amérique
Vanuatu;Port-Vila;Océanie
Vatican;Vatican;Europe
Venezuela;Caracas;Amérique
Viêt Nam;Hanoi;Asie
Yémen;Sanaa;Asie
Zambie;Lusaka;Afrique
Zimbabwe;Harare;Afrique
